ts,price_eur_per_mwh,allocation
2015-01-16 11:00:00+00:00,21.96,3.617933056008068e-23
2015-01-16 12:00:00+00:00,24.32,9.155789161487737e-23
2015-01-16 13:00:00+00:00,26.51,8.659272006317321e-23
2015-01-16 14:00:00+00:00,23.91,4.024361159176169e-23
2015-01-16 15:00:00+00:00,27.43,8.747266145924147e-23
2015-01-16 16:00:00+00:00,29.07,9.264664804637987e-23
2015-01-16 17:00:00+00:00,30.08,3.313704731580996e-23
2015-01-16 18:00:00+00:00,27.83,3.7125731042349454e-23
2015-01-16 19:00:00+00:00,27.4,3.4261648907955394e-23
2015-01-16 20:00:00+00:00,26.95,3.552033682065771e-23
2015-01-16 21:00:00+00:00,26.85,1.4602049722325491e-22
2015-01-16 22:00:00+00:00,26.75,3.541429570243949e-23
2015-01-16 23:00:00+00:00,26.88,9.054538654722924e-23
2015-01-17 00:00:00+00:00,26.78,3.5241949994483854e-23
2015-01-17 01:00:00+00:00,26.67,3.529136724526724e-23
2015-01-17 02:00:00+00:00,26.7,1.4611237839723205e-22
2015-01-17 03:00:00+00:00,26.66,9.080386016123187e-23
2015-01-17 04:00:00+00:00,26.74,9.063716229753456e-23
2015-01-17 05:00:00+00:00,26.87,3.5265162641080106e-23
2015-01-17 06:00:00+00:00,27.2,1.4621187576035966e-22
2015-01-17 07:00:00+00:00,27.61,9.068531556916213e-23
2015-01-17 08:00:00+00:00,27.99,1.4620401824178714e-22
2015-01-17 09:00:00+00:00,28.35,3.56311310977712e-23
2015-01-17 10:00:00+00:00,28.53,1.452398137249035e-22
2015-01-17 11:00:00+00:00,27.42,9.191752825100894e-23
2015-01-17 12:00:00+00:00,27.52,3.429285975922512e-23
2015-01-17 13:00:00+00:00,27.09,9.115120437827821e-23
2015-01-17 14:00:00+00:00,27.27,9.061769162843485e-23
2015-01-17 15:00:00+00:00,27.78,9.079645157115159e-23
2015-01-17 16:00:00+00:00,28.23,9.05498966736026e-23
2015-01-17 17:00:00+00:00,28.1,9.085236506837831e-23
2015-01-17 18:00:00+00:00,27.74,9.068210609203591e-23
2015-01-17 19:00:00+00:00,27.24,9.032222554207689e-23
2015-01-17 20:00:00+00:00,26.93,9.231164950673727e-23
2015-01-17 21:00:00+00:00,27.46,3.262411100369942e-23
2015-01-17 22:00:00+00:00,24.5,1.488397185688023e-22
2015-01-17 23:00:00+00:00,23.35,3.2775651674030437e-23
2015-01-18 00:00:00+00:00,21.19,1.4852521828858126e-22
2015-01-18 01:00:00+00:00,22.24,8.913524062992394e-23
2015-01-18 02:00:00+00:00,22.31,9.150863048459751e-23
2015-01-18 03:00:00+00:00,22.32,8.951294869957645e-23
2015-01-18 04:00:00+00:00,22.11,3.6932249368175014e-23
2015-01-18 05:00:00+00:00,24.9,1.4520757132051847e-22
2015-01-18 06:00:00+00:00,26.68,3.510479300781631e-23
2015-01-18 07:00:00+00:00,27.03,9.116166677738213e-23
2015-01-18 08:00:00+00:00,27.22,1.4571479971148978e-22
2015-01-18 09:00:00+00:00,27.24,3.6035011081550045e-23
2015-01-18 10:00:00+00:00,28.22,3.449933437387235e-23
2015-01-18 11:00:00+00:00,28.15,1.4637722663192795e-22
2015-01-18 12:00:00+00:00,27.85,9.077806066986037e-23
2015-01-18 13:00:00+00:00,28.17,9.083280990122081e-23
2015-01-18 14:00:00+00:00,29.24,3.48985931311201e-23
2015-01-18 15:00:00+00:00,30.44,3.554262999228362e-23
2015-01-18 16:00:00+00:00,31.94,-2.017728388464353e-23
2015-01-18 17:00:00+00:00,32.45,3.4536567482700137e-23
2015-01-18 18:00:00+00:00,30.94,9.110522551564682e-23
2015-01-18 19:00:00+00:00,29.8,9.128603236906408e-23
2015-01-18 20:00:00+00:00,29.63,3.4133120059127533e-23
2015-01-18 21:00:00+00:00,28.54,3.617840395743621e-23
2015-01-18 22:00:00+00:00,28.42,3.456485578169417e-23
2015-01-18 23:00:00+00:00,27.92,9.099422271655751e-23
2015-01-19 00:00:00+00:00,27.7,3.51445297924458e-23
2015-01-19 01:00:00+00:00,27.65,3.518127908648633e-23
2015-01-19 02:00:00+00:00,27.73,3.52244417538195e-23
2015-01-19 03:00:00+00:00,28.07,3.524025845753223e-23
